transcript_id	gene_id
FBtr0070657	Dmel_CG15579
FBtr0070658	Dmel_CG12692
FBtr0070659	Dmel_CG15578
FBtr0070660	Dmel_CG15577
FBtr0070661	Dmel_CG15576
FBtr0070663	Dmel_CG15573
FBtr0070664	Dmel_CG15571
FBtr0070665	Dmel_CG3665
FBtr0070666	Dmel_CG3665
FBtr0070667	Dmel_CG3665
FBtr0070668	Dmel_CG6121
FBtr0070669	Dmel_CG6133
FBtr0070670	Dmel_CG6358
FBtr0070671	Dmel_CG6379
FBtr0070672	Dmel_CG3578
FBtr0070674	Dmel_CG3556
FBtr0070675	Dmel_CG3564
FBtr0070676	Dmel_CG3568
FBtr0070677	Dmel_CG15912
FBtr0070678	Dmel_CG3527
FBtr0070679	Dmel_CG3546
FBtr0070680	Dmel_CG12212
FBtr0070681	Dmel_CG3346
FBtr0070682	Dmel_CG7038
FBtr0070683	Dmel_CG7035
FBtr0070684	Dmel_CG7035
FBtr0070685	Dmel_CG2984
FBtr0070686	Dmel_CG3000
FBtr0070687	Dmel_CG3000
FBtr0070688	Dmel_CG3009
FBtr0070689	Dmel_CG15473
FBtr0070690	Dmel_CG3024
FBtr0070691	Dmel_CG3052
FBtr0070692	Dmel_CG3062
FBtr0070693	Dmel_CG3081
FBtr0070696	Dmel_CG12184
FBtr0070697	Dmel_CG12684
FBtr0070698	Dmel_CG11444
FBtr0070699	Dmel_CG11436
FBtr0070701	Dmel_CG17592
FBtr0070702	Dmel_CG11427
FBtr0070704	Dmel_CG6998
FBtr0070706	Dmel_CG6998
FBtr0070707	Dmel_CG6998
FBtr0070708	Dmel_CG7010
FBtr0070709	Dmel_CG7010
FBtr0070710	Dmel_CG7010
FBtr0070711	Dmel_CG7010
FBtr0070712	Dmel_CG7024
FBtr0070713	Dmel_CG6986
FBtr0070714	Dmel_CG6986
FBtr0070715	Dmel_CG6978
FBtr0070716	Dmel_CG12682
FBtr0070717	Dmel_CG12681
FBtr0070721	Dmel_CG6927
FBtr0070723	Dmel_CG6903
FBtr0070724	Dmel_CG6899
FBtr0070725	Dmel_CG6899
FBtr0070731	Dmel_CG2861
FBtr0070734	Dmel_CG2871
FBtr0070735	Dmel_CG2932
FBtr0070736	Dmel_CG15472
FBtr0070738	Dmel_CG6824
FBtr0070739	Dmel_CG6824
FBtr0070740	Dmel_CG6824
FBtr0070741	Dmel_CG6789
FBtr0070742	Dmel_CG15465
FBtr0070748	Dmel_CG4528
FBtr0070749	Dmel_CG4193
FBtr0070750	Dmel_CG4198
FBtr0070751	Dmel_CG4202
FBtr0070752	Dmel_CG3312
FBtr0070753	Dmel_CG3312
FBtr0070755	Dmel_CG3315
FBtr0070756	Dmel_CG3319
FBtr0070757	Dmel_CG17764
FBtr0070758	Dmel_CG3323
FBtr0070759	Dmel_CG5062
FBtr0070762	Dmel_CG4206
FBtr0070763	Dmel_CG4208
FBtr0070764	Dmel_CG4209
FBtr0070772	Dmel_CG4165
FBtr0070773	Dmel_CG4165
FBtr0070775	Dmel_CG4165
FBtr0070776	Dmel_CG16756
FBtr0070777	Dmel_CG15784
FBtr0070778	Dmel_CG16752
FBtr0070779	Dmel_CG4151
FBtr0070780	Dmel_CG12730
FBtr0070781	Dmel_CG4136
FBtr0070782	Dmel_CG32763
FBtr0070783	Dmel_CG3201
FBtr0070784	Dmel_CG3208
FBtr0070785	Dmel_CG3208
FBtr0070791	Dmel_CG32762
FBtr0070794	Dmel_CG3249
FBtr0070795	Dmel_CG3249
FBtr0070797	Dmel_CG3252
FBtr0070798	Dmel_CG3309
FBtr0070799	Dmel_CG4119
FBtr0070800	Dmel_CG4111
FBtr0070801	Dmel_CG4111
FBtr0070802	Dmel_CG15779
FBtr0070804	Dmel_CG12410
