,CC,GST-rich,LM,PH,PM
Vrp1,-0.0037160400800221216,0.07401795659057034,0.00497511810777445,-0.02758557060667321,-0.0035289420096032958
CG13526,8.763869315652928e-05,-0.00026437019312978115,-4.697244489072479e-05,0.00015530523658307892,-9.501315040190265e-05
CG13559,0.07458564675669775,0.23813721427532894,0.0013050077372500353,0.01800941686517055,-0.00033029625102045155
ITP,0.00021420297009276426,-0.01799518884442892,0.0013533042364196489,0.009354990727630394,-0.00907740268649312
CecA1,-0.010139777703824994,-0.025214063000037083,-0.004274945396813564,0.05110248384485633,-0.0009013783385407646
CecC,-0.0073382961593240655,-0.03432313085221568,0.006052378519779914,-0.024254457058748444,0.0012746431592590456
CG13743,0.000213140411102908,-0.0007960003860806157,-0.00015931458575360342,5.656902519633683e-05,-0.004462265501867064
Pvf2,-0.002780356340601741,0.10042665554559321,-0.007559652224258594,0.030172102173386544,-0.005962930834606691
CG13870,7.437660006770532e-05,-0.00012224944617408913,-0.00026827200136912536,-5.0922397775000524e-05,-0.000734649172014256
CG13893,0.0008725599708181164,-0.004916120326613863,-0.004555195248355207,0.009160520277898319,0.0037057498304827884
CG13898,2.384064929624003e-05,0.00046556797350825704,-0.0006344807660270698,0.00015949528115400774,-0.0006515755467845427
msd1,-0.004100764616658852,0.09467000756298931,-0.005771768100716252,0.01625284083245638,-0.008225283591814172
CG13917,-0.0019191664705798565,-0.015676998164592428,-0.0049645552284551305,-0.056731146258502674,-0.004552538138592535
CNMa,0.0011561291734547626,-0.0020212281512581552,-0.004782323425694222,0.0022624652600614107,-0.0015978389108812791
Arc2,-0.01302921654891943,-0.053721822954868326,0.012367752548321799,-0.003254044647856823,0.007343911210390839
stg,-0.006485714519503789,-0.02388814137657425,-0.006707043825256444,0.013429970468847273,-0.005885671637640929
CG13978,0.00011241906482848478,-0.00023456372986933757,-0.0002275143680081847,-0.00018781459268600844,-0.0007683525360634596
Ilp8,-0.0009222694135462302,-0.0042330706050806525,-0.00017946532244289662,0.0023888184975543007,-0.0007399493999762949
Rcd7,-5.8415210403686385e-05,-0.0003526652430677714,-0.0007403674296371193,0.0009128111964483367,-0.0005249521453802726
CG14131,-6.466262543385419e-05,-0.0025047880671523297,-0.0002652847860570155,0.0012179449767928945,-0.0003515464003119579
